Class,Cap_Shape,Cap_Surface,Cap_Color,Bruises,Odor,Gill_Attachment,Gill_Spacing,Gill_Size,Gill_Color,Stalk_Shape,Stalk_Root,Stalk_Surface_Above_Ring,Stalk_Surface_Below_Ring,Stalk_Color_Above_Ring,Stalk_Color_Below_Ring,Veil_Type,Veil_Color,Ring_Number,Ring_Type,Spore_Print_Color,Population,Habitat
p,f,g,y,t,f,f,c,b,n,e,c,k,y,w,w,p,w,o,f,w,v,m
p,b,y,g,f,p,f,c,b,n,e,b,y,k,w,n,p,w,o,p,n,n,l
p,k,f,y,f,f,f,w,n,n,e,c,f,y,p,w,p,w,n,p,w,n,p
e,f,g,y,f,a,f,c,b,n,e,u,s,f,p,p,p,w,t,e,k,v,d
e,k,s,w,f,n,f,w,n,n,t,e,k,s,w,p,p,w,o,f,k,v,d
e,f,s,g,t,n,f,w,n,p,e,c,k,s,w,g,p,w,o,e,w,v,p
e,k,s,y,f,n,a,w,n,b,e,b,k,y,g,w,p,w,o,e,k,n,p
p,k,f,y,f,f,f,c,n,w,e,u,s,s,n,g,p,w,o,f,h,y,d
p,f,f,g,t,p,f,w,b,b,e,c,f,k,g,w,p,w,o,f,w,s,p
e,f,s,g,t,n,f,c,n,n,e,b,k,k,p,p,p,w,o,f,n,s,g
e,f,g,y,t,n,f,w,b,p,e,u,y,s,g,p,p,w,o,l,h,n,l
e,x,f,g,f,n,f,c,b,g,e,b,k,k,g,p,p,w,o,f,w,s,l
e,b,s,y,t,n,f,w,b,p,t,u,k,s,g,w,p,w,t,p,n,v,l
e,x,s,y,t,a,f,c,b,n,t,e,k,s,g,p,p,w,o,e,k,y,g
e,x,g,w,t,n,a,w,b,p,e,c,k,s,n,w,p,w,o,l,n,s,p
p,k,y,n,f,f,f,c,b,p,t,b,f,y,n,g,p,w,o,f,h,y,m
e,f,f,y,t,n,f,c,b,n,t,u,y,s,w,w,p,w,o,l,k,v,p
e,b,g,e,f,a,f,c,b,p,t,b,f,y,p,g,p,w,o,f,w,s,d
p,k,s,n,f,f,f,c,b,w,t,b,y,s,g,w,p,w,n,l,k,n,l
e,x,s,n,t,a,f,w,b,w,e,c,k,s,w,g,p,w,o,e,w,y,p
p,f,g,n,t,n,f,w,n,p,t,e,s,s,w,p,p,w,o,e,w,v,m
p,k,f,w,f,f,f,c,n,g,t,b,f,k,w,g,p,w,o,p,n,y,d
e,f,y,y,t,n,f,w,n,n,t,u,s,y,n,p,p,w,o,p,n,s,g
e,k,y,w,t,n,f,c,b,w,e,u,f,y,g,p,p,w,o,f,n,s,g
e,f,s,y,f,n,f,c,n,g,e,e,k,s,g,g,p,w,o,e,h,n,m
e,x,f,w,f,n,f,w,n,p,e,u,f,s,p,w,p,w,o,l,h,v,d
e,b,y,w,t,l,f,c,n,g,e,e,k,k,g,w,p,w,o,l,n,v,l
p,x,f,e,f,f,a,c,b,b,e,u,f,k,g,n,p,w,o,l,h,n,p
e,b,f,w,t,n,f,w,b,w,e,c,k,k,w,w,p,w,o,p,k,n,d
e,f,s,g,t,n,f,c,b,p,e,b,k,y,p,n,p,w,o,l,k,v,g
e,k,y,e,t,a,f,c,b,n,t,c,y,y,g,w,p,w,o,p,h,y,m
p,x,g,w,f,f,f,c,n,p,t,b,k,y,n,w,p,w,o,p,h,y,m
e,b,s,n,t,n,a,c,n,n,t,b,y,s,g,p,p,w,o,f,k,n,p
e,x,y,g,t,l,f,w,n,p,e,b,k,y,w,n,p,w,o,l,w,y,m
e,b,y,g,t,a,f,w,n,g,e,c,s,f,n,w,p,w,o,l,k,v,m
p,x,y,g,f,f,f,w,b,g,e,b,k,f,w,n,p,w,o,e,k,s,d
e,b,y,e,f,n,f,c,b,g,e,c,s,k,g,p,p,w,o,f,h,s,l
p,b,y,w,f,p,a,c,b,b,e,e,s,y,n,p,p,w,o,e,k,y,p
p,f,f,w,f,f,f,w,n,n,t,u,k,f,p,n,p,w,o,f,h,n,d
e,b,s,n,f,n,f,c,b,g,t,u,s,k,p,p,p,w,o,l,h,n,l
p,f,f,n,t,f,f,c,b,b,e,b,y,y,n,g,p,w,o,p,n,n,d
e,b,g,g,f,n,f,c,n,n,e,c,f,s,n,g,p,w,o,p,k,n,d
p,k,y,n,f,c,f,c,n,p,e,u,k,f,w,p,p,w,o,p,w,n,m
p,k,s,e,f,n,a,w,b,b,e,c,s,s,n,g,p,w,o,p,n,y,l
p,k,y,w,t,f,f,w,b,w,t,c,k,y,w,w,p,w,o,p,h,s,p
e,b,s,g,f,n,f,w,b,b,e,b,y,f,g,n,p,w,o,e,h,s,p
p,f,f,n,f,f,f,c,b,b,e,u,k,y,w,w,p,w,o,f,w,y,l
e,f,s,e,t,n,f,w,b,n,e,b,k,s,n,n,p,w,o,l,h,n,m
e,b,g,e,f,a,f,w,b,p,e,b,s,f,n,p,p,w,o,e,k,y,g
e,k,g,n,t,n,f,c,n,w,t,u,y,s,g,w,p,w,n,f,n,s,d
p,k,s,w,t,f,f,c,n,g,e,u,f,y,n,p,p,w,o,p,h,v,m
p,f,s,n,t,f,a,w,n,g,e,e,f,y,n,p,p,w,o,f,h,y,l
e,k,s,g,t,n,f,w,b,b,t,e,s,s,p,n,p,w,o,f,w,n,d
e,x,s,n,t,n,f,w,n,n,t,c,k,f,p,n,p,w,o,p,k,s,p
e,f,g,e,f,a,f,w,b,n,t,u,s,s,g,n,p,w,o,p,h,s,g
p,k,y,n,t,f,f,c,b,g,e,e,s,y,w,w,p,w,o,p,w,s,p
e,f,s,w,t,a,f,w,n,w,e,c,s,s,p,g,p,w,o,l,h,s,l
p,x,s,y,f,p,f,w,b,p,t,c,k,y,w,n,p,w,o,p,w,n,d
e,f,g,n,t,n,f,c,b,w,t,c,y,s,n,n,p,w,o,l,w,v,l
p,f,g,w,f,f,f,w,n,p,t,e,s,f,p,w,p,w,o,p,k,s,d
e,f,f,w,f,l,f,c,n,g,t,u,k,f,g,n,p,w,o,l,h,y,m
e,f,s,e,f,l,f,c,n,p,t,b,y,s,g,w,p,w,o,f,k,v,g
e,x,f,w,t,n,f,c,b,n,t,c,s,s,g,p,p,w,o,e,w,s,m
p,b,g,w,t,f,f,w,n,b,e,e,f,f,p,n,p,w,o,f,n,v,m
p,f,g,w,t,n,f,w,n,b,e,e,y,y,w,n,p,w,o,f,h,y,l
e,f,y,w,f,n,f,c,b,g,e,b,s,f,n,p,p,w,o,p,n,s,g
p,k,s,g,t,f,f,w,n,n,t,b,y,y,w,p,p,w,o,l,h,y,d
p,f,f,g,t,n,f,w,n,w,t,e,y,s,w,p,p,w,o,e,k,n,d
p,k,g,e,t,f,f,c,n,n,t,u,y,s,n,n,p,w,o,p,k,s,p
p,b,g,n,f,f,f,c,b,b,t,b,y,y,n,g,p,w,o,p,k,s,d
e,x,f,w,f,n,f,w,b,b,t,e,y,s,p,g,p,w,o,p,k,s,l
e,x,y,n,t,n,f,c,b,n,t,b,y,y,p,g,p,w,o,f,k,s,m
p,b,g,n,t,f,f,w,b,n,e,u,s,k,p,n,p,w,o,l,n,n,m
p,x,s,e,t,p,f,w,n,b,e,c,f,f,p,p,p,w,o,l,k,s,m
p,b,g,w,t,f,f,w,b,w,t,b,k,k,p,n,p,w,o,e,w,v,g
e,b,s,w,f,n,f,w,b,g,e,u,y,y,n,p,p,w,o,l,w,s,d
e,b,f,y,f,n,f,c,n,g,t,e,k,f,w,n,p,w,o,l,n,n,l
p,x,s,n,f,f,f,c,n,n,e,b,s,y,p,n,p,w,o,p,h,s,g
p,k,f,n,f,n,f,c,n,g,t,b,y,f,p,p,p,w,o,p,w,v,p
p,b,s,g,t,f,f,c,b,b,t,e,f,f,w,g,p,w,o,f,h,n,l
p,f,f,y,t,f,f,w,b,b,e,c,k,f,p,p,p,w,t,p,n,n,l
